address,amount
0x60f1f0fa16248c90f429b01a799cd861b756e79f,"1,262,626"
0xf8a3a22ea8152a4d3d5a9acc33bc0c88639ff401,"1,262,626"
0x4909c70da31f7e8e607915b035cfc3e8cb1989c2,"1,262,626"
0x1608ff6641e319db030011fe5b893bf9e5ba35cd,"1,262,626"
0xd682c03200f8c5e39d93efa7008eed27a320fa95,"1,262,626"
0xf073b98cf1fbf02bb0340d5acdb353e38fa0b90b,"1,262,626"
0x20e2075ade6073e895603b05c9b4d87fa4b2dce3,"1,262,626"
0x8e8a851ad04a07ae090c6f948c18bd6670ecf798,"1,262,626"
0xa2d7661fcef29d27fef5b86dbbcc00228bdc026b,"1,262,626"
0x3800be708ebfe2b921dc749f9bd9caabdce3e838,"1,262,626"
0x437d7d2a318fe058c79fcf1f22ea4bdfa7872414,"1,262,626"
0x1dd13a22963057075b6bb60957901d41553180a1,"1,262,626"
0xa2fa6a7ad372012b860a67e94478705b2de81d02,"1,262,626"
0x917646e3621cb2e5367554e5637529fc19965753,"1,262,626"
0x7f020b7f99eec3689309c917c1cfb0a21530f1ab,"1,262,626"
0xdd431a811f24c468fecdceec1b7ae3567f19c51f,"1,262,626"
0xe359790bce61ba49b7a27705c06eff5332b9bb89,"1,262,626"
0x9e49ad916b6fbece9e63c19a708def23e594cf60,"1,262,626"
0x0c4342a5df7fd33708b566928fcca8093de09062,"1,262,626"
0x0149f30573c638eef7e2786c04b666d1da0fb497,"1,262,626"
0x516367d127eb2502d93901d17be64e42f64de483,"1,262,626"
0x46d3540962ea4b8461f536f0235eb5158c87dbbf,"1,262,626"
0x02b3c69e9cb86e5198d23050b405e51bdef78c21,"1,262,626"
0x4ca51d2a3e3bfad7e01776c06a0450d7cee0b290,"1,262,626"
0x7178cc3a305694792e2018d181ea2bb849c2fb77,"1,262,626"
0xbb1a25031038221b82bea04b667d894a6ab4974c,"1,262,626"
0x9a116805dbd7ed692a694c3f37d8ea2f54027044,"1,262,626"
0x07cc5534e2183c94e91b4c43d2288526f6178dac,"1,262,626"
0x204f90c5ba8d0adfd81b499431d7db58fabe3d2f,"1,262,626"
0xc8bafd779ae8db471f355956ee230b910b887187,"1,262,626"
0xd41f0b53687947a6b20f6d7e1d08fe5800e2562c,"1,262,626"
0x58285332c24300e414313713ab77f09f395e7262,"1,262,626"
0xb4d035f5ddddd18a91f6734d97eb9283d5811854,"1,262,626"
0x592705cdb9cc2d2bf2219ddc79452edccd94539e,"1,262,626"
0xe44741f2a4ce9d59efb6156c16bafe1c51e3786a,"1,262,626"
0xb8ff1df8fe89716d3206335fe9c4502fdc5ee244,"1,262,626"
0x518f7d51583acb0048b2d9ccd0953ae79058abe3,"1,262,626"
0x4b55d28f4a529c980a0820557da04795400faee2,"1,262,626"
0x80dff1a3227184fc9648dc9fbee3d7d94e901acf,"1,262,626"
0x02f5c43641001dff0867d3d09396a4c423c1a120,"1,262,626"
0xb23be1179c2f08dfdc3f13f5a4613db54ff57998,"1,262,626"
